Habitat Description	Technical Difficulty Creation	Technical Difficulty Enhancement
Coastal lagoons - Coastal lagoons	Medium	Medium
Coastal saltmarsh - Saltmarshes and saline reedbeds	High	Medium
Cropland - Arable field margins cultivated annually	Low	Low
Cropland - Arable field margins game bird mix	Low	Low
Cropland - Arable field margins pollen & nectar	Low	Low
Cropland - Arable field margins tussocky	Low	Low
Cropland - Cereal crops	Low	Low
Cropland - Cereal crops other	Low	Low
Cropland - Cereal crops winter stubble	Low	Low
Cropland - Horticulture	Low	Low
Cropland - Intensive orchards	Low	Low
Cropland - Non-cereal crops	Low	Low
Cropland - Temporary grass and clover leys	Low	Low
Grassland - Traditional orchards	Low	Medium
Grassland - Bracken	Low	Low
Grassland - Floodplain Wetland Mosaic (CFGM)	High	Medium
Grassland - Lowland calcareous grassland	High	High
Grassland - Lowland dry acid grassland	High	High
Grassland - Lowland meadows	High	Medium
Grassland - Modified grassland	Low	Low
Grassland - Other lowland acid grassland	Low	Low
Grassland - Other neutral grassland	Low	Low
Grassland - Tall herb communities	High	High
Grassland - Upland acid grassland	Low	Low
Grassland - Upland calcareous grassland	High	High
Grassland - Upland hay meadows	High	Medium
Heathland and shrub - Blackthorn scrub	Low	Low
Heathland and shrub - Bramble scrub	Low	Low
Heathland and shrub - Gorse scrub	Low	Low
Heathland and shrub - Hawthorn scrub	Low	Low
Heathland and shrub - Hazel scrub	Medium	Medium
Heathland and shrub - Lowland Heathland	High	Medium
Heathland and shrub - Mixed scrub	Low	Low
Heathland and shrub - Mountain heaths and willow scrub	High	High
Heathland and shrub - Rhododendron scrub	Low	Low
Heathland and shrub - Sea buckthorn scrub (Annex 1)	Medium	Low
Heathland and shrub - Sea buckthorn scrub (other)	Low	Low
Heathland and shrub - Upland Heathland	Medium	Medium
Intertidal sediment - Artificial littoral biogenic reefs	High	Medium
Intertidal sediment - Artificial littoral coarse sediment	Medium	Medium
Intertidal sediment - Artificial littoral mixed sediments	High	Medium
Intertidal sediment - Artificial littoral muddy sand	High	Medium
Intertidal sediment - Artificial littoral seagrass	High	High
Intertidal sediment - Features of littoral sediment	High	Medium
Intertidal sediment - Littoral biogenic reefs - Sabellaria	High	Medium
Intertidal sediment - Littoral coarse sediment	Medium	Medium
Intertidal sediment - Littoral mixed sediments	High	Medium
Intertidal sediment - Littoral mud	High	Medium
Intertidal sediment - Littoral seagrass	High	High
Intertidal sediment - Littoral seagrass on peat, clay or chalk	Very High	High
Lakes - Aquifer fed naturally fluctuating water bodies	Very High	High
Lakes - Ornamental lake or pond	Low	High
Lakes - High alkalinity lakes	High	High
Lakes - Low alkalinity lakes	High	Medium
Lakes - Marl Lakes	High	High
Lakes - Moderate alkalinity lakes	High	High
Lakes - Peat Lakes	High	High
Lakes - Ponds (Non- Priority Habitat)	Low	Medium
Lakes - Ponds (Priority Habitat)	Medium	Medium
Lakes - Reservoirs	Medium	Medium
Lakes - Temporary lakes, ponds and pools	Medium	Medium
Rocky shore - Features of littoral rock	High	Medium
Rocky shore - Features of littoral rock - on peat, clay or chalk	Very High	Medium
Rocky shore - High energy littoral rock	High	Medium
Rocky shore - High energy littoral rock - on peat, clay or chalk	Very High	Medium
Rocky shore - Low energy littoral rock	High	Medium
Rocky shore - Low energy littoral rock - on peat, clay or chalk	Very High	Medium
Rocky shore - Moderate energy littoral rock	High	Medium
Rocky shore - Moderate energy littoral rock - on peat, clay or chalk	Very High	Medium
Sparsely vegetated land - Calaminarian grasslands	Very High	Medium
Sparsely vegetated land - Coastal sand dunes	Very High	Medium
