Habitat Description	Good	Fairly Good	Moderate	Fairly Poor	Poor	N/A -Agricultural	N/A - Other
Cropland - Arable field margins cultivated annually	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Arable field margins game bird mix	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Arable field margins pollen & nectar	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Arable field margins tussocky	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Cereal crops other	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Cereal crops winter stubble	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Horticulture	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Intensive orchards	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Non-cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Cropland - Temporary grass and clover leys	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible
Grassland - Traditional orchards	30	25	20	10	5	Not Possible	Not Possible
Grassland - Bracken	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Grassland - Floodplain Wetland Mosaic (CFGM)	20	15	10	8	5	Not Possible	Not Possible
Grassland - Lowland calcareous grassland	20	15	10	8	5	Not Possible	Not Possible
Grassland - Lowland dry acid grassland	30+	25	20	15	10	Not Possible	Not Possible
Grassland - Lowland meadows	15	12	10	8	5	Not Possible	Not Possible
Grassland - Modified grassland	7	5	4	2	1	1	Not Possible
Grassland - Other lowland acid grassland	15	12	10	5	1	Not Possible	Not Possible
Grassland - Other neutral grassland	10	7	5	3	2	Not Possible	Not Possible
Grassland - Tall herb communities	30	25	20	15	10	Not Possible	Not Possible
Grassland - Upland acid grassland	15	12	10	5	1	Not Possible	Not Possible
Grassland - Upland calcareous grassland	25	20	15	12	10	Not Possible	Not Possible
Grassland - Upland hay meadows	20	18	15	12	10	Not Possible	Not Possible
Heathland and shrub - Blackthorn scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Bramble scrub	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Heathland and shrub - Gorse scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Hawthorn scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Hazel scrub	15	12	10	7	5	Not Possible	Not Possible
Heathland and shrub - Lowland Heathland	30+	25	20	15	10	Not Possible	Not Possible
Heathland and shrub - Mixed scrub	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Mountain heaths and willow scrub	30+	30+	25	23	15	Not Possible	Not Possible
Heathland and shrub - Rhododendron scrub	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Heathland and shrub - Sea buckthorn scrub (Annex 1)	10	7	5	3	1	Not Possible	Not Possible
Heathland and shrub - Sea buckthorn scrub (other)	Not Possible	Not Possible	Not Possible	Not Possible	1	Not Possible	Not Possible
Heathland and shrub - Upland Heathland	30	25	20	15	10	Not Possible	Not Possible
Lakes - Aquifer fed naturally fluctuating water bodies	30	20	15	10	1	Not Possible	Not Possible
Lakes - High alkalinity lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Low alkalinity lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Marl Lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Moderate alkalinity lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Peat Lakes	30	20	10	7	5	Not Possible	Not Possible
Lakes - Ponds (Priority Habitat)	5	4	3	2	1	Not Possible	Not Possible
Lakes - Ponds (Non- Priority Habitat)	5	4	3	2	1	Not Possible	Not Possible
Lakes - Reservoirs	10	7	5	3	1	Not Possible	Not Possible
