Habitat Description	Lower Distinctiveness Habitat - N/A - Other	Lower Distinctiveness Habitat - N/A -Agricultural	Lower Distinctiveness Habitat - Poor	Lower Distinctiveness Habitat - Fairly Poor	Lower Distinctiveness Habitat - Moderate	Lower Distinctiveness Habitat - Fairly Good	Lower Distinctiveness Habitat - Good	Poor - Fairly Poor	Poor - Moderate	Poor - Fairly Good	Poor - Good	Fairly Poor - Moderate	Fairly Poor - Fairly Good	Fairly Poor - Good	Moderate - Fairly Good	Moderate - Good	Fairly Good - Good	Good - Good
Cropland - Arable field margins cultivated annually	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Arable field margins game bird mix	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Arable field margins pollen & nectar	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Arable field margins tussocky	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Cereal crops other	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Cereal crops winter stubble	Not Possible	1	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Horticulture	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Intensive orchards	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
Cropland - Non-cereal crops	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible	Not Possible
